"continent","avg_extant_mass","avg_extinct_mass","diff"
"AF",31794.5257301808,970038.461538462,-938243.935808281
"AUS",17484.8826086957,188355.555555556,-170870.67294686
"EA",36413.1945723684,NA,NA
"Insular",12431.589628821,95177.912,-82746.322371179
"NA",11071.7273584906,735076.102564103,-724004.375205612
"Oceanic",8568480.22266667,NA,NA
"SA",4126.67529274005,985889.131578947,-981762.456286207
